CSA2010,crime15,viol15,prop15,juvarr15,juvviol15,juvdrug15,shoot15,gunhom15,caslt15,narc15,caracc15,arrest15
Hamilton,47.5,9.5,37.1,8.7,0.7,0,1.5,0.2,44.8,22.5,46.1,17.2
Harbor East/Little Italy,157.8,28.3,126.9,49.8,17.3,2.2,2.6,0,116.5,32,148.5,49.1
Harford/Echodale,45.7,10,34.5,27.7,13.2,1.9,0.6,0.1,40.1,15.7,28.3,13.2
Highlandtown,94.9,17.4,76.8,91.7,21.4,30.6,1.1,0.1,88,114.1,61.1,57.7
Howard Park/West Arlington,48.5,10.9,37.1,13,3.7,1.9,1.7,0.5,42.2,26.1,79.1,11.1
Inner Harbor/Federal Hill,65.9,11,54.5,185.9,28.8,6.4,0.3,0,62.9,9.6,113.9,13.1
Lauraville,41.9,8.1,33.2,12.7,5.2,1.5,1.2,0.3,38.3,21.8,51.9,15.4
Loch Raven,39.4,8.9,29.6,13.4,1.3,0,0.9,0.4,39.3,18.2,51.7,10.2
Madison/East End,83,26.5,55.5,46.3,6.5,6.5,7.5,1,102.8,78.8,43.7,70
Medfield/Hampden/Woodberry/Remington,55.8,10.7,44.7,51.3,11.4,2.3,0.2,0.1,48.3,25.4,75.9,9
Midtown,87.5,19.6,67,117.4,60.4,0,0.7,0,63.8,15.6,122.2,14.4
Midway/Coldstream,79.8,23.5,55.3,42.4,7.6,5.9,7.4,1.1,82.3,108.3,62.7,70
Morrell Park/Violetville,67,14.1,52.5,35.5,16.4,1.4,2.2,0.1,76.6,31,106.3,17.2
Mount Washington/Coldspring,41,4.6,35.6,10,7.5,0,0.2,0,16.4,7.5,81.3,3.6
North Baltimore/Guilford/Homeland,38.3,4.5,33.6,11,3,1,0.2,0,18.2,11.1,32.6,8.6
Northwood,42.3,10.5,30.6,16.8,4.9,0,1,0.1,32.9,19.5,53.1,9.6
Oldtown/Middle East,97.8,29.9,66.2,69.8,20.9,11,9.1,1,139,73,165.8,57.8
Orangeville/East Highlandtown,106.5,29,75.9,58.7,21,7,2.6,0.3,100.6,56.8,184.9,49.1
Patterson Park North & East,93.1,18.8,72.7,56.9,25.1,2.5,1.4,0.2,66.3,34.4,52.9,29.3
Penn North/Reservoir Hill,64.2,15.8,47,28.5,8.1,3.1,6.1,0.9,77.2,144.8,79.7,35.9
Pimlico/Arlington/Hilltop,61.6,20.9,39.4,34.7,4,17,8.3,1.2,79.5,286.4,55.3,51.7
Poppleton/The Terraces/Hollins Market,85.7,27.5,57.6,21.7,5.4,9,9,2.2,114.4,168.1,79.2,52
Sandtown-Winchester/Harlem Park,72.4,26.1,45,54,10.3,14.6,9.7,1.2,116.1,220.8,76.2,72.3
South Baltimore,41.8,3.3,38.1,16.1,5.4,0,0.2,0,28.1,14.2,60.1,10.1
Southeastern,102.7,19,81.5,22,3.7,9.2,1.6,0.3,85,48.9,151,54.4
Southern Park Heights,56.1,17.5,37.6,17.7,2,2,4.2,0.3,75.4,83.3,51.4,26.5
Southwest Baltimore,91.3,27.6,62.6,81.4,12,29.7,9.2,1.3,136.7,237.1,96.7,106.1
The Waverlies,85.9,20.6,64.2,34.8,5.4,1.3,3.1,0.5,67.2,31.5,98.3,20.4
Upton/Druid Heights,98.3,30.3,66.7,72,14.9,15.8,6.8,1,109.6,175.4,74.5,69.3
Washington Village/Pigtown,151.6,29.8,120.1,53.7,11.2,17.9,3.1,0.4,154.3,249.5,201.3,107
Westport/Mount Winans/Lakeland,69.1,22.8,45.7,25.6,8.1,2.3,6,0.8,85,28.1,111.5,32.8
Baltimore City,65.1,16.1,48.2,32.7,8.5,4.7,3.2,0.5,71.9,64.7,75.9,30.9
